,query_hash,query_type,bytes_scanned,result_size,write_volume,cpu_time,unique_db_instance,num_read_tables,intermediate_result_size,hour,read_tables,write_table,timestamp,scan_to_result_ratio,scan_to_i_result_ratio,repetition_coefficient,load,cache_result,cache_ir,execution,write_delta,was_cached,cache_writes,cache_reads,execution_trigger,triggered_by,threshold,network_speed,runtime,latency
27,2eabbf657ecf3727993e40b4ccc62bf8,select,967242826,412416535,0,0.0072952334688864,0,1,8248330700,1,59896A,,2024-04-14 12:16:59,0.4263836586987516,8.527673173975032,0.0002640612622128,1.92,False,False,normal,False,False,0,1,immediate,2eabbf657ecf3727993e40b4ccc62bf8,1192.965565217391,17179869184.0,0.24523807937968778,0.30391762296812436
28,cc8dacc2a36cd3b8dd266c14ed112565,select,378093390,87302115,0,0.0055742138965101,0,1,1746042300,1,228410A,,2024-04-14 12:17:06,0.2309009290006365,4.618018580012731,0.0001760408414752,1.18,False,False,normal,False,False,0,1,immediate,cc8dacc2a36cd3b8dd266c14ed112565,1192.965565217391,17179869184.0,0.19518194319952759,0.19518194319952759
29,6687d90bcca29136d3be1fd0ce63114d,select,430023010,379433050,0,0.0161170926686468,0,1,7588661000,1,29087A,,2024-04-14 12:17:13,0.8823552255959513,17.647104511919025,0.0001760408414752,3.45,False,False,normal,False,False,0,1,immediate,6687d90bcca29136d3be1fd0ce63114d,1192.965565217391,17179869184.0,0.1505904164529664,0.1505904164529664
30,4c0fd3d66b802924d32841c090e60f5e,select,2403064151,449683177,0,0.0106858313359552,0,1,8993663540,1,257302A,,2024-04-14 12:17:18,0.187129077187919,3.74258154375838,0.000440102103688,2.82,False,False,normal,False,False,0,1,immediate,4c0fd3d66b802924d32841c090e60f5e,1192.965565217391,17179869184.0,0.316980807415853,0.316980807415853
31,45975454d7e7d62ba3a88121ad4e931d,delete,1216944502,0,2124259,0.0016281210844968,0,1,0,1,279412A,65A,2024-04-14 12:17:20,0.0,0.0,8.802042073761112e-05,0.5,False,False,normal,True,False,0,0,immediate,45975454d7e7d62ba3a88121ad4e931d,1192.965565217391,17179869184.0,0.07189684976030163,
32,21bb250108b97d0abbbdead679c48cd1,select,447339733,198267136,0,0.0044138201101113,0,1,3965342720,1,228810A,,2024-04-14 12:17:24,0.4432137844549569,8.86427568909914,0.000440102103688,1.09,False,False,normal,False,False,0,1,immediate,21bb250108b97d0abbbdead679c48cd1,1192.965565217391,17179869184.0,0.14703378855239277,0.14703378855239277
33,52a145a0a39a32bd66cf4b5d339728f9,select,3720712214,131714000,0,0.0142646699528787,0,1,2634280000,1,229180A,,2024-04-14 12:17:24,0.0354002116864607,0.7080042337292147,0.0002640612622128,3.38,False,False,normal,False,False,0,1,immediate,52a145a0a39a32bd66cf4b5d339728f9,1192.965565217391,17179869184.0,0.36759300292517894,0.36759300292517894
34,d2cceb989465e1dcaf370af8fb9e602e,insert,611267567,7,470078576,0.0088745290642394,0,47,5,1,"29263A,256956A,59243A,228440A,59442A,44A,229142A,279424A,256922A,2465A,52A,257121A,30A,228938A,59743A,241305A,97031A,29522A,279496A,229646A,2551A,228490A,29903A,26A,241687A,715A,29373A,228739A,228552A,43A,710A,228655A,82978A,17A,82986A,127A,97109A,60054A,2097A,229553A,241370A,59A,141A,325A,241391A,229070A,143A",270A,2024-04-14 12:17:26,0.0,0.0,0.0003520816829504,2.88,False,False,normal,True,False,0,0,immediate,d2cceb989465e1dcaf370af8fb9e602e,1192.965565217391,17179869184.0,0.09474206850844316,
35,65f04c6237607862dc30be7fd2bff235,select,730192871,751251563,0,0.0095900000130452,0,1,15025031260,1,228823A,,2024-04-14 12:17:44,1.02883990358761,20.5767980717522,0.0002640612622128,2.65,False,False,normal,False,False,0,1,immediate,65f04c6237607862dc30be7fd2bff235,1192.965565217391,17179869184.0,0.24364419304209606,0.24364419304209606
36,4fdc59973278d2c9d9f1ea73527c3bc3,insert,87271949,0,123334811,0.0066661510475192,0,1,0,1,29536A,1387A,2024-04-14 12:17:56,0.0,0.0,0.0006161429451632,1.55,False,False,normal,True,False,0,0,immediate,4fdc59973278d2c9d9f1ea73527c3bc3,1192.965565217391,17179869184.0,0.0227710332534382,
37,0e6f318b9cf742a2a3aef9c1d559b3bb,select,693877101,302167350,0,0.0115253306785245,0,1,6043347000,1,29523A,,2024-04-14 12:17:56,0.4354767574322934,8.70953514864587,0.0005281225244256,2.56,False,False,normal,False,False,0,1,immediate,0e6f318b9cf742a2a3aef9c1d559b3bb,1192.965565217391,17179869184.0,0.2364014840255335,0.2364014840255335
38,6ba934d064492f29273df882dfa82d4e,delete,266722983,0,874290,0.0042395409086988,0,1,0,1,30366A,2245A,2024-04-14 12:18:01,0.0,0.0,0.0006161429451632,0.83,False,False,normal,True,False,0,0,immediate,6ba934d064492f29273df882dfa82d4e,1192.965565217391,17179869184.0,0.017746872158362,
39,34f2b1f513347721dd2a0a06948abe2f,delete,1322785080,0,5326382,0.0027501349712257,0,1,0,1,29455A,78A,2024-04-14 12:18:02,0.0,0.0,0.0002640612622128,0.73,False,False,normal,True,False,0,0,immediate,34f2b1f513347721dd2a0a06948abe2f,1192.965565217391,17179869184.0,0.0789913653583499,
40,515418d68a3bb56217e7ae5ad629cccc,select,637540354,246234475,0,0.0072961195742944,0,1,4924689500,1,256792A,,2024-04-14 12:18:05,0.3862257086239281,7.724514172478563,8.802042073761112e-05,1.7,False,False,normal,False,False,0,1,immediate,515418d68a3bb56217e7ae5ad629cccc,1192.965565217391,17179869184.0,0.23218770194027677,0.23218770194027677
41,6eb4cb435d530504c91b18b21c175845,delete,947985168,0,5861898,0.0055093581753768,0,2,0,1,"2131A,29145A",2962A,2024-04-14 12:18:10,0.0,0.0,8.802042073761112e-05,1.19,False,False,normal,True,False,0,0,immediate,6eb4cb435d530504c91b18b21c175845,1192.965565217391,17179869184.0,0.0586170930398155,
