,query_hash,query_type,bytes_scanned,result_size,write_volume,cpu_time,unique_db_instance,num_read_tables,intermediate_result_size,hour,read_tables,write_table,timestamp,scan_to_result_ratio,scan_to_i_result_ratio,repetition_coefficient,load,cache_result,cache_ir,write_delta,was_cached,cache_writes,cache_reads,execution,execution_trigger,triggered_by,network_speed,total_runtime,runtime,size
839,40849cd78a416f335c34fc08f09293e8,insert,410264418,0.0,328283,0.009662749322782889,0,1,0.0,2,8A,9A,2024-04-14 13:26:00,0.0,0.0,0.002068252326783868,0.2,False,False,False,False,1,1,normal,immediate,40849cd78a416f335c34fc08f09293e8,17179869184.0,0.03241623378048684,0.031443962710439526,
210106903c7675f75ac1aa3ec4dbcccb,,select,328283,0.028295879827742447,0,0.006010814511076841,0,2,0.8488763948322734,2,"9A,0A",,2024-04-14 13:26:00,8.619355808172353e-08,2.585806742451706e-06,0.002068252326783868,0.01,True,True,False,False,0,0,incremental,triggered_by_write,40849cd78a416f335c34fc08f09293e8,1250000000.0,0.0032680343572762402,0.0032680343572762402,8184.0
bdc83d416235a709c3865757e1a9a1b8,,select,328283,0.02323168591706182,0,0.03369168495395791,0,2,0.6969505775118545,2,"4A,9A",,2024-04-14 13:26:00,7.076725239217937e-08,2.123017571765381e-06,0.0031023784901758012,0.05,True,True,False,False,0,0,incremental,triggered_by_write,40849cd78a416f335c34fc08f09293e8,1250000000.0,0.017108469453124768,0.017108469453124768,61194.0
044fb625f7369dbfd1ad466fb7d351d6,,select,328283,21.0441372838381,0,0.009644653027665564,0,2,631.324118515143,2,"6A,9A",,2024-04-14 13:26:00,6.410364619501497e-05,0.0019231093858504491,0.002068252326783868,0.01,True,True,False,False,0,0,incremental,triggered_by_write,40849cd78a416f335c34fc08f09293e8,1250000000.0,0.005085474808437422,0.005085474808437422,11182196.0
14,ec71d705f525981d9c2e5fc65cf48881,insert,1223872174,0.0,432344,0.003642963813254943,0,1,0.0,2,1A,5A,2024-04-14 13:27:50,0.0,0.0,0.0031023784901758012,0.25,False,False,False,False,0,1,normal,immediate,ec71d705f525981d9c2e5fc65cf48881,17179869184.0,0.07489953238031297,0.07421085769544072,
525,cdc12fd8fd55061f56a266d29ce95a66,select,7685588816,50203.0,0,0.016946521018783762,0,1,1004060.0,2,6A,,2024-04-14 13:28:53,6.53209548440667e-06,0.00013064190968813339,0.001034126163391934,0.06,True,True,False,False,1,0,normal,immediate,cdc12fd8fd55061f56a266d29ce95a66,17179869184.0,0.4580720834022085,0.458158333645682,1054263.0
315,e3c11e438ac110986c8f68849c3d3a9e,insert,2518104966,0.0,150615,0.008423922867056618,0,2,0.0,2,"6A,3A",4A,2024-04-14 13:29:14,0.0,0.0,0.0,0.11,False,False,False,False,1,1,normal,immediate,e3c11e438ac110986c8f68849c3d3a9e,17179869184.0,0.15446478882767475,0.15386098049756286,
6f45052814dd4fd00798d27103a46156,,select,150615,10.976768153966399,0,0.008322238434354035,0,1,219.5353630793279,2,4A,,2024-04-14 13:29:14,7.287964780378048e-05,0.0014575929560756095,0.002068252326783868,0.01,True,True,False,False,0,0,incremental,triggered_by_write,e3c11e438ac110986c8f68849c3d3a9e,1250000000.0,0.0042817956268820035,0.0042817956268820035,1849995.0
bdc83d416235a709c3865757e1a9a1b8,,select,150615,0.010658609719048095,0,0.03369168495395791,0,2,0.3197582915714428,2,"4A,9A",,2024-04-14 13:29:14,7.076725239217937e-08,2.123017571765381e-06,0.0031023784901758012,0.05,True,True,False,False,0,0,incremental,triggered_by_write,e3c11e438ac110986c8f68849c3d3a9e,1250000000.0,0.016966334741312476,0.016966334741312476,61194.0
877,15775ece0692156632d78ab6a5ce168a,insert,697240656,0.0,223858,0.0030501829478533616,0,1,0.0,2,2A,7A,2024-04-14 13:29:32,0.0,0.0,0.001034126163391934,0.13,False,False,False,False,0,1,normal,immediate,15775ece0692156632d78ab6a5ce168a,17179869184.0,0.04393377073972177,0.04337504322243807,
